time,value
2022-08-04 00:00:00,24.9
2022-08-04 00:10:00,24.7
2022-08-04 00:20:00,24.8
2022-08-04 00:30:00,24.4
2022-08-04 00:40:00,24.6
2022-08-04 00:50:00,25.0
2022-08-04 01:00:00,25.5
2022-08-04 01:09:00,25.7
2022-08-04 01:19:00,25.0
2022-08-04 01:30:00,24.7
2022-08-04 01:40:00,24.9
2022-08-04 01:50:00,25.0
2022-08-04 02:00:00,25.2
2022-08-04 02:09:00,25.0
2022-08-04 02:20:00,24.9
2022-08-04 02:30:00,24.8
2022-08-04 02:40:00,24.9
2022-08-04 02:50:00,25.0
2022-08-04 03:00:00,25.1
2022-08-04 03:09:00,25.8
2022-08-04 03:19:00,26.0
2022-08-04 03:30:00,25.9
2022-08-04 03:39:00,25.6
2022-08-04 03:50:00,25.1
2022-08-04 04:00:00,25.1
2022-08-04 04:09:00,25.6
2022-08-04 04:20:00,25.3
2022-08-04 04:30:00,24.8
2022-08-04 04:40:00,24.6
2022-08-04 04:50:00,24.7
2022-08-04 05:00:00,24.9
2022-08-04 05:09:00,24.9
2022-08-04 05:19:00,24.8
2022-08-04 05:30:00,24.9
2022-08-04 05:40:00,25.0
2022-08-04 05:50:00,25.1
2022-08-04 06:00:00,25.3
2022-08-04 06:10:00,25.8
2022-08-04 06:20:00,26.0
2022-08-04 06:30:00,26.0
2022-08-04 06:40:00,26.4
2022-08-04 06:50:00,26.4
2022-08-04 07:00:00,26.1
2022-08-04 07:09:00,26.4
2022-08-04 07:20:00,26.8
2022-08-04 07:30:00,26.9
2022-08-04 07:40:00,27.1
2022-08-04 07:50:00,27.1
2022-08-04 08:00:00,27.4
2022-08-04 08:10:00,27.5
2022-08-04 08:20:00,27.4
2022-08-04 08:30:00,27.4
2022-08-04 08:40:00,27.7
2022-08-04 08:50:00,28.3
2022-08-04 09:00:00,28.6
2022-08-04 09:09:00,28.4
2022-08-04 09:19:00,28.9
2022-08-04 09:29:00,29.0
2022-08-04 09:40:00,29.4
2022-08-04 09:50:00,29.5
2022-08-04 10:00:00,29.9
2022-08-04 10:09:00,30.5
2022-08-04 10:19:00,30.3
2022-08-04 10:30:00,30.9
2022-08-04 10:40:00,31.3
2022-08-04 10:50:00,31.6
2022-08-04 11:00:00,31.4
2022-08-04 11:10:00,31.2
2022-08-04 11:20:00,31.3
2022-08-04 11:30:00,32.0
2022-08-04 11:40:00,32.0
2022-08-04 11:50:00,31.7
2022-08-04 12:00:00,31.7
2022-08-04 12:10:00,31.2
2022-08-04 12:20:00,31.3
2022-08-04 12:30:00,31.3
2022-08-04 12:40:00,31.0
2022-08-04 12:50:00,30.9
2022-08-04 13:00:00,30.2
2022-08-04 13:09:00,30.1
2022-08-04 13:19:00,29.5
2022-08-04 13:30:00,28.7
2022-08-04 13:40:00,28.3
2022-08-04 13:50:00,27.6
2022-08-04 14:00:00,26.6
2022-08-04 14:09:00,26.8
2022-08-04 14:19:00,27.3
2022-08-04 14:29:00,28.2
2022-08-04 14:39:00,28.7
2022-08-04 14:50:00,29.3
2022-08-04 15:00:00,30.2
2022-08-04 15:10:00,29.9
2022-08-04 15:20:00,29.5
2022-08-04 15:30:00,29.1
2022-08-04 15:40:00,29.2
2022-08-04 15:49:00,29.0
2022-08-04 16:00:00,27.6
2022-08-04 16:09:00,27.2
2022-08-04 16:20:00,27.5
2022-08-04 16:30:00,27.0
2022-08-04 16:40:00,26.2
2022-08-04 16:50:00,26.2
2022-08-04 17:00:00,25.0
2022-08-04 17:10:00,24.6
2022-08-04 17:20:00,24.2
2022-08-04 17:30:00,24.5
2022-08-04 17:40:00,24.4
2022-08-04 17:50:00,23.7
2022-08-04 18:00:00,23.4
2022-08-04 18:09:00,23.3
2022-08-04 18:20:00,23.2
2022-08-04 18:30:00,23.2
2022-08-04 18:40:00,23.1
2022-08-04 18:50:00,23.3
2022-08-04 19:00:00,23.5
2022-08-04 19:10:00,23.7
2022-08-04 19:20:00,23.8
2022-08-04 19:30:00,24.0
2022-08-04 19:40:00,24.4
2022-08-04 19:50:00,24.3
2022-08-04 20:00:00,24.5
2022-08-04 20:09:00,24.5
2022-08-04 20:20:00,24.5
2022-08-04 20:30:00,24.8
2022-08-04 20:40:00,24.8
2022-08-04 20:50:00,24.8
2022-08-04 21:00:00,24.9
2022-08-04 21:10:00,24.5
2022-08-04 21:20:00,24.4
2022-08-04 21:30:00,24.6
2022-08-04 21:40:00,24.8
2022-08-04 21:50:00,24.7
2022-08-04 22:00:00,24.3
2022-08-04 22:10:00,23.8
2022-08-04 22:20:00,24.5
2022-08-04 22:30:00,24.6
2022-08-04 22:40:00,24.6
2022-08-04 22:50:00,24.7
2022-08-04 23:00:00,24.9
2022-08-04 23:09:00,24.8
2022-08-04 23:19:00,24.8
2022-08-04 23:30:00,24.9
2022-08-04 23:40:00,25.0
2022-08-04 23:50:00,24.9
2022-08-05 00:00:00,24.8
2022-08-05 00:09:00,24.9
2022-08-05 00:19:00,24.9
2022-08-05 00:30:00,25.0
2022-08-05 00:40:00,25.2
2022-08-05 00:50:00,25.1
2022-08-05 01:00:00,24.9
2022-08-05 01:10:00,25.0
2022-08-05 01:20:00,25.2
2022-08-05 01:30:00,25.8
2022-08-05 01:40:00,25.7
2022-08-05 01:50:00,25.7
2022-08-05 02:00:00,25.5
2022-08-05 02:09:00,25.2
2022-08-05 02:19:00,25.0
2022-08-05 02:29:00,25.1
2022-08-05 02:39:00,25.0
2022-08-05 02:50:00,25.0
2022-08-05 03:00:00,24.9
2022-08-05 03:10:00,25.1
2022-08-05 03:20:00,25.1
2022-08-05 03:30:00,24.9
2022-08-05 03:40:00,24.9
2022-08-05 03:50:00,24.7
2022-08-05 04:00:00,24.8
2022-08-05 04:09:00,25.0
2022-08-05 04:19:00,25.0
2022-08-05 04:30:00,24.9
2022-08-05 04:40:00,24.9
2022-08-05 04:50:00,24.9
2022-08-05 05:00:00,24.8
2022-08-05 05:10:00,24.9
2022-08-05 05:20:00,24.9
2022-08-05 05:30:00,25.0
2022-08-05 05:40:00,24.5
2022-08-05 05:50:00,24.5
2022-08-05 06:00:00,24.3
2022-08-05 06:10:00,24.4
2022-08-05 06:20:00,24.7
2022-08-05 06:30:00,24.9
2022-08-05 06:40:00,24.6
2022-08-05 06:50:00,24.6
2022-08-05 07:00:00,24.9
2022-08-05 07:10:00,25.0
2022-08-05 07:20:00,25.7
2022-08-05 07:30:00,25.8
2022-08-05 07:40:00,26.4
2022-08-05 07:50:00,26.8
2022-08-05 08:00:00,26.8
2022-08-05 08:10:00,27.3
2022-08-05 08:20:00,27.4
2022-08-05 08:30:00,27.7
2022-08-05 08:40:00,28.2
2022-08-05 08:50:00,28.6
2022-08-05 09:00:00,28.7
2022-08-05 09:10:00,29.1
2022-08-05 09:20:00,29.3
2022-08-05 09:30:00,29.2
2022-08-05 09:40:00,29.6
2022-08-05 09:50:00,29.5
2022-08-05 10:00:00,29.4
2022-08-05 10:09:00,29.8
2022-08-05 10:19:00,30.1
2022-08-05 10:30:00,30.3
2022-08-05 10:40:00,30.5
2022-08-05 10:50:00,30.6
2022-08-05 11:00:00,30.8
2022-08-05 11:10:00,30.7
2022-08-05 11:20:00,30.8
2022-08-05 11:30:00,30.8
2022-08-05 11:40:00,30.6
2022-08-05 11:50:00,30.6
2022-08-05 12:00:00,30.3
2022-08-05 12:10:00,30.5
2022-08-05 12:20:00,30.7
2022-08-05 12:30:00,30.6
2022-08-05 12:40:00,30.4
2022-08-05 12:50:00,30.6
2022-08-05 13:00:00,30.8
2022-08-05 13:10:00,30.7
2022-08-05 13:20:00,30.4
2022-08-05 13:30:00,30.5
2022-08-05 13:40:00,30.5
2022-08-05 13:50:00,30.3
2022-08-05 14:00:00,30.1
2022-08-05 14:10:00,30.0
2022-08-05 14:20:00,29.9
2022-08-05 14:30:00,29.9
2022-08-05 14:40:00,30.1
2022-08-05 14:50:00,29.9
2022-08-05 15:00:00,29.9
2022-08-05 15:09:00,30.0
2022-08-05 15:20:00,29.6
2022-08-05 15:30:00,29.8
2022-08-05 15:40:00,29.4
2022-08-05 15:50:00,29.3
2022-08-05 16:00:00,29.6
2022-08-05 16:09:00,29.4
2022-08-05 16:20:00,29.0
2022-08-05 16:30:00,29.1
2022-08-05 16:40:00,29.0
2022-08-05 16:50:00,28.8
2022-08-05 17:00:00,28.8
2022-08-05 17:10:00,28.8
2022-08-05 17:20:00,28.6
2022-08-05 17:30:00,28.4
2022-08-05 17:40:00,28.6
2022-08-05 17:50:00,28.8
2022-08-05 18:00:00,28.5
2022-08-05 18:10:00,28.2
2022-08-05 18:20:00,28.5
2022-08-05 18:30:00,28.6
2022-08-05 18:40:00,28.5
2022-08-05 18:50:00,28.4
2022-08-05 19:00:00,28.2
2022-08-05 19:10:00,28.2
2022-08-05 19:20:00,28.2
2022-08-05 19:30:00,28.5
2022-08-05 19:40:00,28.3
2022-08-05 19:50:00,28.2
2022-08-05 20:00:00,28.5
2022-08-05 20:09:00,28.6
2022-08-05 20:19:00,28.5
2022-08-05 20:29:00,28.5
2022-08-05 20:40:00,28.6
2022-08-05 20:50:00,28.5
2022-08-05 21:00:00,28.4
2022-08-05 21:09:00,28.2
2022-08-05 21:19:00,28.3
2022-08-05 21:30:00,28.3
2022-08-05 21:40:00,28.6
2022-08-05 21:50:00,28.5
2022-08-05 22:00:00,28.3
2022-08-05 22:10:00,28.6
2022-08-05 22:20:00,28.5
2022-08-05 22:30:00,28.3
2022-08-05 22:40:00,27.9
2022-08-05 22:50:00,27.7
2022-08-05 23:00:00,27.9
2022-08-05 23:09:00,27.8
2022-08-05 23:19:00,28.1
2022-08-05 23:30:00,28.3
2022-08-05 23:40:00,28.2
2022-08-05 23:50:00,28.1
